module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMAD Hexalith Module,hex-setup,Setup Hexalith Module,SH,"Install or update Hexalith module config and help entries.",configure,"{-H: headless mode}|{inline values: skip prompts with provided values}",anytime,,,false,{project-root}/_bmad,config.yaml and config.user.yaml
BMAD Hexalith Module,hex-absorb,Seed Knowledge Base,SK,"Found the conventions KB from Hexalith.AI.Tools content and framework source, with full provenance (first run).",seed,"{-H: headless mode}|{kb-path: explicit KB root override}",anytime,hex-setup:configure,,true,{project-root}/_bmad/hex/knowledge,founding KB entries + index
BMAD Hexalith Module,hex-absorb,Ingest Release,IR,"Read a framework release and propose KB updates as a reviewable diff; bumps targets_framework.",ingest,"{-H: headless mode}|{release: release ref or latest}",anytime,hex-absorb:seed,,false,{project-root}/_bmad/hex/knowledge,KB update branch + impact note
BMAD Hexalith Module,hex-absorb,Verify KB Against Source,VK,"Sample KB claims and check each directly against framework source; stamp verified dates, flag mismatches.",verify,"{-H: headless mode}|{entries: specific entry ids to verify}",anytime,hex-absorb:seed,,false,{project-root}/_bmad/hex/knowledge,verification report + stamped entries
BMAD Hexalith Module,hex-absorb,Drain AI.Tools,DA,"Propose the deletion PR against Hexalith.AI.Tools for eval-passing absorbed content; update the provenance ledger.",drain,"{-H: headless mode}",anytime,hex-absorb:seed,,false,{project-root}/_bmad/hex/knowledge,deletion PR draft + drain progress report
BMAD Hexalith Module,hex-absorb,Process Intake,PI,"Turn filed KB gaps (from consult, enforce, migrate, extend, create) into drafted entries for review.",intake,"{-H: headless mode}",anytime,hex-absorb:seed,,false,{project-root}/_bmad/hex/knowledge,drafted KB entries
BMAD Hexalith Module,hex-consult,Consult a Question,CQ,"Answer a Hexalith conformance question with cited convention ids at the configured verbosity.",answer,"{-H: headless mode}|{question: the conformance question}|{verbosity: terse or explain}",anytime,hex-absorb:seed,,false,,cited answer; gap auto-filed if unanswerable
BMAD Hexalith Module,hex-consult,Show Conformant Example,SE,"Show a working conformant example for a named concept, generated or pointed into framework source.",example,"{-H: headless mode}|{concept: e.g. a command handler}",anytime,hex-absorb:seed,,false,,example + why-it-is-shaped-this-way notes
BMAD Hexalith Module,hex-consult,Explain a Finding,EF,"Turn an audit or enforce finding into an explanation: the convention, why it exists, conformant form here.",explain,"{-H: headless mode}|{finding: convention id + code location}",anytime,hex-absorb:seed,,false,,explanation
BMAD Hexalith Module,hex-consult,File a KB Gap,FG,"File a structured gap entry into the KB intake queue.",gap,"{-H: headless mode}|{gap: what the KB should know}",anytime,hex-absorb:seed,hex-absorb:intake,false,{project-root}/_bmad/hex/knowledge,intake gap entry
